wavelength_100s,photons_100s,wavelength_1000s,photons_1000s
1.043000000000000000e+03,5.852816993401761465e+02,1.043000000000000000e+03,5.852816993401761465e+03
1.045000000000000000e+03,6.084228515352199338e+02,1.045000000000000000e+03,6.084228515352198883e+03
1.047000000000000000e+03,6.264318922893038462e+02,1.047000000000000000e+03,6.264318922893037779e+03
1.049000000000000000e+03,6.249311661130903985e+02,1.049000000000000000e+03,6.249311661130903303e+03
1.051000000000000000e+03,6.495909411819011439e+02,1.051000000000000000e+03,6.495909411819010529e+03
1.053000000000000000e+03,6.514242807262031647e+02,1.053000000000000000e+03,6.514242807262031420e+03
1.055000000000000000e+03,6.587339070212240131e+02,1.055000000000000000e+03,6.587339070212239676e+03
1.057000000000000000e+03,6.655782615393792412e+02,1.057000000000000000e+03,6.655782615393793094e+03
1.059000000000000000e+03,6.676654190603965162e+02,1.059000000000000000e+03,6.676654190603963798e+03
1.061000000000000000e+03,6.698979977499507186e+02,1.061000000000000000e+03,6.698979977499508095e+03
1.063000000000000000e+03,6.708306386443566680e+02,1.063000000000000000e+03,6.708306386443567135e+03
1.065000000000000000e+03,6.843554681688017354e+02,1.065000000000000000e+03,6.843554681688016899e+03
1.067000000000000000e+03,6.747688661721385870e+02,1.067000000000000000e+03,6.747688661721385870e+03
1.069000000000000000e+03,6.923509859056564437e+02,1.069000000000000000e+03,6.923509859056564892e+03
1.071000000000000000e+03,6.970839589096020745e+02,1.071000000000000000e+03,6.970839589096020063e+03
1.073000000000000000e+03,6.953849296194196086e+02,1.073000000000000000e+03,6.953849296194196540e+03
1.075000000000000000e+03,6.997898076180312046e+02,1.075000000000000000e+03,6.997898076180313183e+03
1.077000000000000000e+03,7.002105476940304243e+02,1.077000000000000000e+03,7.002105476940303561e+03
1.079000000000000000e+03,7.042265409971897725e+02,1.079000000000000000e+03,7.042265409971898407e+03
1.081000000000000000e+03,7.021394185402690482e+02,1.081000000000000000e+03,7.021394185402690709e+03
1.083000000000000000e+03,6.865365911508984027e+02,1.083000000000000000e+03,6.865365911508984937e+03
1.085000000000000000e+03,7.103192711037526124e+02,1.085000000000000000e+03,7.103192711037527260e+03
1.087000000000000000e+03,6.995957168761959792e+02,1.087000000000000000e+03,6.995957168761960020e+03
1.089000000000000000e+03,7.442145841712002721e+02,1.089000000000000000e+03,7.442145841712003858e+03
1.091000000000000000e+03,7.011963905725300492e+02,1.091000000000000000e+03,7.011963905725301629e+03
1.093000000000000000e+03,6.985873076447718404e+02,1.093000000000000000e+03,6.985873076447717722e+03
1.095000000000000000e+03,6.909437763365957608e+02,1.095000000000000000e+03,6.909437763365957835e+03
1.097000000000000000e+03,6.960817432760620704e+02,1.097000000000000000e+03,6.960817432760621159e+03
1.099000000000000000e+03,6.947336750640232594e+02,1.099000000000000000e+03,6.947336750640232822e+03
