wavelength_100s,snr_100s,wavelength_1000s,snr_1000s
1.281000000000000000e+03,1.466638803971138572e+01,1.281000000000000000e+03,4.637919125334001791e+01
1.283000000000000000e+03,1.533360372579345210e+01,1.283000000000000000e+03,4.848911251195125516e+01
1.285000000000000000e+03,1.492690955550621723e+01,1.285000000000000000e+03,4.720303262273122158e+01
1.287000000000000000e+03,1.507438557916753830e+01,1.287000000000000000e+03,4.766939275776587692e+01
1.289000000000000000e+03,2.120562223823074532e+01,1.289000000000000000e+03,6.705806547392687378e+01
1.291000000000000000e+03,1.295200376437301237e+01,1.291000000000000000e+03,4.095783215849353098e+01
1.293000000000000000e+03,1.403196919629740336e+01,1.293000000000000000e+03,4.437298271762212920e+01
1.295000000000000000e+03,1.452592564413099474e+01,1.295000000000000000e+03,4.593501015770242191e+01
1.297000000000000000e+03,1.467137495348266363e+01,1.297000000000000000e+03,4.639496125935212234e+01
1.299000000000000000e+03,2.013043480595989365e+01,1.299000000000000000e+03,6.365802427636295135e+01
1.301000000000000000e+03,1.520409138263652338e+01,1.301000000000000000e+03,4.807955852247003747e+01
1.303000000000000000e+03,1.514039121717173053e+01,1.303000000000000000e+03,4.787812091227170441e+01
1.305000000000000000e+03,1.366276356127423597e+01,1.305000000000000000e+03,4.320545198598008341e+01
1.307000000000000000e+03,1.533147953504904848e+01,1.307000000000000000e+03,4.848239523101429427e+01
1.309000000000000000e+03,1.979638786081785895e+01,1.309000000000000000e+03,6.260167508429280758e+01
1.311000000000000000e+03,1.326664926481246987e+01,1.311000000000000000e+03,4.195282859540571962e+01
1.313000000000000000e+03,1.497728980932052245e+01,1.313000000000000000e+03,4.736234897388181508e+01
1.315000000000000000e+03,1.331936314416650369e+01,1.315000000000000000e+03,4.211952451846779866e+01
1.317000000000000000e+03,1.299213699278441858e+01,1.317000000000000000e+03,4.108474457012935233e+01
1.319000000000000000e+03,1.998500685357548079e+01,1.319000000000000000e+03,6.319814071137368927e+01
1.321000000000000000e+03,1.410346725019519099e+01,1.321000000000000000e+03,4.459907941620861749e+01
1.323000000000000000e+03,1.347020744693552707e+01,1.323000000000000000e+03,4.259653608727795415e+01
1.325000000000000000e+03,1.358441243365164297e+01,1.325000000000000000e+03,4.295768396545016543e+01
1.327000000000000000e+03,1.329533386699720410e+01,1.327000000000000000e+03,4.204353727208532376e+01
1.329000000000000000e+03,1.965888652971326067e+01,1.329000000000000000e+03,6.216685769669732764e+01
1.331000000000000000e+03,1.347451330432244454e+01,1.331000000000000000e+03,4.261015240390047865e+01
1.333000000000000000e+03,1.338109167033902835e+01,1.333000000000000000e+03,4.231472725777828714e+01
1.335000000000000000e+03,1.335072464497504541e+01,1.335000000000000000e+03,4.221869829186400835e+01
1.337000000000000000e+03,1.286177265701252992e+01,1.337000000000000000e+03,4.067249634343522757e+01
1.339000000000000000e+03,1.289399965103614321e+01,1.339000000000000000e+03,4.077440704669047733e+01
1.341000000000000000e+03,1.989540378572147006e+01,1.341000000000000000e+03,6.291479093161640890e+01
1.343000000000000000e+03,1.289028908457040679e+01,1.343000000000000000e+03,4.076267320524929971e+01
1.345000000000000000e+03,1.311808069457715398e+01,1.345000000000000000e+03,4.148301352474743453e+01
1.347000000000000000e+03,1.375340067249450726e+01,1.347000000000000000e+03,4.349207169797414707e+01
